site slit_width order_id filename dateobs sigma h3 h4 good_until good_after
ogg 1.2 1 ogg2m001-en06-20260327-0012-a00.fits.fz "2026-03-28T08:34:48" 1.248 0.003 0.007 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 1.2 2 ogg2m001-en06-20260327-0012-a00.fits.fz "2026-03-28T08:34:48" 1.452 0.002 -0.006 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 1.6 1 ogg2m001-en06-20260327-0030-a00.fits.fz "2026-03-28T13:18:45" 1.484 0.003 -0.012 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 1.6 2 ogg2m001-en06-20260327-0030-a00.fits.fz "2026-03-28T13:18:45" 1.655 0.000 -0.016 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 2.0 1 ogg2m001-en06-20260622-0020-a00.fits.fz "2026-06-23T12:58:49" 1.748 -0.001 -0.035 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 2.0 2 ogg2m001-en06-20260622-0020-a00.fits.fz "2026-06-23T12:58:49" 1.899 -0.005 -0.035 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 6.0 1 ogg2m001-en06-20260622-0010-a00.fits.fz "2026-06-23T09:58:57" 4.074 -0.001 -0.037 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
ogg 6.0 2 ogg2m001-en06-20260622-0010-a00.fits.fz "2026-06-23T09:58:57" 4.379 -0.007 -0.056 "3000-01-01T00:00:00" "1000-01-01T00:00:00"
coj 1.2 1 coj2m002-en12-20250617-0013-a00.fits.fz "2025-06-17T10:31:45" 1.836 -0.012 0.036 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 1.2 2 coj2m002-en12-20250617-0013-a00.fits.fz "2025-06-17T10:31:45" 1.933 -0.019 0.021 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 1.6 1 coj2m002-en12-20250621-0036-a00.fits.fz "2025-06-21T13:28:01" 2.016 -0.005 0.017 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 1.6 2 coj2m002-en12-20250621-0036-a00.fits.fz "2025-06-21T13:28:01" 2.074 -0.010 0.006 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 2.0 1 coj2m002-en12-20250309-0003-a00.fits.fz "2025-03-09T11:48:03" 2.089 0.002 -0.005 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 2.0 2 coj2m002-en12-20250309-0003-a00.fits.fz "2025-03-09T11:48:03" 1.979 0.002 -0.021 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 6.0 1 coj2m002-en12-20250130-0008-a00.fits.fz "2025-01-30T18:25:06" 4.632 0.001 -0.085 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 6.0 2 coj2m002-en12-20250130-0008-a00.fits.fz "2025-01-30T18:25:06" 4.441 -0.004 -0.087 "2025-12-08T00:00:00" "1000-01-01T00:00:00"
coj 1.2 1 coj2m002-en12-20260412-0023-a00.fits.fz "2026-04-12T10:56:29" 1.468 -0.001 0.006 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 1.2 2 coj2m002-en12-20260412-0023-a00.fits.fz "2026-04-12T10:56:29" 1.491 -0.011 0.021 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 1.6 1 coj2m002-en12-20260328-0013-a00.fits.fz "2026-03-28T12:40:13" 1.542 0.001 -0.003 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 1.6 2 coj2m002-en12-20260328-0013-a00.fits.fz "2026-03-28T12:40:13" 1.652 -0.007 -0.009 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 2.0 1 coj2m002-en12-20260621-0011-a00.fits.fz "2026-06-21T17:16:11" 1.839 0.000 -0.014 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 2.0 2 coj2m002-en12-20260621-0011-a00.fits.fz "2026-06-21T17:16:11" 2.001 -0.008 -0.003 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 6.0 1 coj2m002-en12-20260623-0015-a00.fits.fz "2026-06-23T18:55:34" 4.357 -0.004 -0.065 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
coj 6.0 2 coj2m002-en12-20260623-0015-a00.fits.fz "2026-06-23T18:55:34" 4.181 -0.007 -0.042 "3000-01-01T00:00:00" "2025-12-08T00:00:00"
