site slit_width height good_until good_after
ogg 6.0 95 "3000-01-01 00:00:00" "1000-01-01 00:00:00"
ogg 2.0 95 "3000-01-01 00:00:00" "1000-01-01 00:00:00"
ogg 1.6 95 "3000-01-01 00:00:00" "1000-01-01 00:00:00"
ogg 1.2 95 "3000-01-01 00:00:00" "1000-01-01 00:00:00"
coj 6.0 93 "2025-12-08 00:00:00" "1000-01-01 00:00:00"
coj 6.0 93 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj 2.0 93 "2025-12-08 00:00:00" "1000-01-01 00:00:00"
coj 2.0 93 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj 1.6 93 "2025-12-08 00:00:00" "1000-01-01 00:00:00"
coj 1.6 93 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj 1.2 93 "2025-12-08 00:00:00" "1000-01-01 00:00:00"
coj 1.2 93 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
