site filename frameid slit_width good_until good_after
ogg ogg2m001-en06-20190329-0017-x00.fits.fz 29878202 6.0 "3000-01-01 00:00:00" "1000-01-01 00:00:00" 
ogg ogg2m001-en06-20190329-0018-x00.fits.fz 29878203 2.0 "3000-01-01 00:00:00" "1000-01-01 00:00:00" 
ogg ogg2m001-en06-20190329-0019-x00.fits.fz 29878205 1.6 "3000-01-01 00:00:00" "1000-01-01 00:00:00" 
ogg ogg2m001-en06-20190329-0020-x00.fits.fz 29878204 1.2 "3000-01-01 00:00:00" "1000-01-01 00:00:00" 
coj coj2m002-en12-20220313-0001-x00.fits.fz 49224761 6.0 "2024-12-01 00:00:00" "1000-01-01 00:00:00" 
coj coj2m002-en12-20220313-0002-x00.fits.fz 49224839 2.0 "2024-12-01 00:00:00" "1000-01-01 00:00:00" 
coj coj2m002-en12-20220313-0003-x00.fits.fz 49224948 1.6 "2024-12-01 00:00:00" "1000-01-01 00:00:00" 
coj coj2m002-en12-20241212-0029-x00.fits.fz 77906150 6.0 "2025-01-15 00:00:00" "2024-12-01 00:00:00"
coj coj2m002-en12-20241212-0030-x00.fits.fz 77906253 2.0 "2025-01-15 00:00:00" "2024-12-01 00:00:00"
coj coj2m002-en12-20241212-0031-x00.fits.fz 77906303 1.6 "2025-01-15 00:00:00" "2024-12-01 00:00:00"
coj coj2m002-en12-20241212-0032-x00.fits.fz 77906349 1.2 "2025-01-15 00:00:00" "2024-12-01 00:00:00"
coj coj2m002-en12-20250128-0009-x00.fits.fz 79349808 6.0 "2025-06-30 00:00:00" "2025-01-15 00:00:00"
coj coj2m002-en12-20250128-0010-x00.fits.fz 79349830 2.0 "2025-06-30 00:00:00" "2025-01-15 00:00:00"
coj coj2m002-en12-20250128-0011-x00.fits.fz 79349864 1.6 "2025-06-30 00:00:00" "2025-01-15 00:00:00"
coj coj2m002-en12-20250128-0012-x00.fits.fz 79349926 1.2 "2025-06-30 00:00:00" "2025-01-15 00:00:00"
coj coj2m002-en12-20250717-0004-x00.fits.fz 84816759 6.0 "2025-09-18 00:00:00" "2025-06-30 00:00:00"
coj coj2m002-en12-20250717-0005-x00.fits.fz 84816828 2.0 "2025-09-18 00:00:00" "2025-06-30 00:00:00"
coj coj2m002-en12-20250717-0006-x00.fits.fz 84816857 1.6 "2025-09-18 00:00:00" "2025-06-30 00:00:00"
coj coj2m002-en12-20250717-0007-x00.fits.fz 84816899 1.2 "2025-09-18 00:00:00" "2025-06-30 00:00:00"
coj coj2m002-en12-20250918-0002-x00.fits.fz 86994394 6.0 "2025-11-13 00:00:00" "2025-09-18 00:00:00" 
coj coj2m002-en12-20250918-0003-x00.fits.fz 86994516 2.0 "2025-11-13 00:00:00" "2025-09-18 00:00:00" 
coj coj2m002-en12-20250918-0004-x00.fits.fz 86994614 1.6 "2025-11-13 00:00:00" "2025-09-18 00:00:00" 
coj coj2m002-en12-20250918-0005-x00.fits.fz 86994724 1.2 "2025-11-13 00:00:00" "2025-09-18 00:00:00" 
coj coj2m002-en12-20251113-0009-x00.fits.fz 88838272 1.2 "2025-12-01 00:00:00" "2025-11-13 00:00:00"
coj coj2m002-en12-20251113-0010-x00.fits.fz 88838424 1.6 "2025-12-01 00:00:00" "2025-11-13 00:00:00"
coj coj2m002-en12-20251113-0011-x00.fits.fz 88838603 2.0 "2025-12-01 00:00:00" "2025-11-13 00:00:00"
coj coj2m002-en12-20251113-0012-x00.fits.fz 88838768 6.0 "2025-12-01 00:00:00" "2025-11-13 00:00:00"
coj coj2m002-en12-20251208-0017-x00.fits.fz 89595411 1.2 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj coj2m002-en12-20251208-0018-x00.fits.fz 89595484 1.6 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj coj2m002-en12-20251208-0019-x00.fits.fz 89595574 2.0 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
coj coj2m002-en12-20251208-0020-x00.fits.fz 89595644 6.0 "3000-01-01 00:00:00" "2025-12-08 00:00:00"
